Shadertoy ID,Shader Autor,Shader Name,Category,Fuse Name,Ported by,Issue
"ltsXDB","metabog","BumpyReflectingBalls","Abstract","BumpyReflectingBalls","JiPi",""
"MtKSWW","nimitz","Dynamism","Abstract","Dynamism","JiPi",""
"ldGcDh","duvengar","Favela","Abstract","Favela","nmbr73",""
"tsK3Rd","morgan3d","Flight Through A Nebula V3","Abstract","FlightThroughANebula","JiPi",""
"XtySRc","Darksecond","voronoi solid with borders","Abstract","Mosaic","JiPi",""
"4sGBD1","flimshaw","Noisecube","Abstract","Noisecube","JiPi",""
"Ns2XzR","byt3_m3chanic","Shader 012 4.29.21","Abstract","OtherWorlds","JiPi",""
"NdlSD8","Chaotnix","Overstimulated Neurons","Abstract","OverstimulatedNeurons","JiPi",""
"XdsGD4","fizzer","Rainbow Slices","Abstract","RainbowSlices","nmbr73",""
"lsjGRV","mattz","rainbow spaghetti","Abstract","RainbowSpaghetti","nmbr73",""
"3tdSW8","supastav","raysemigarbage#3 but hilly","Abstract","Raysemigarbage","JiPi",""
"ldXGzN","huttarl","Audio heightfield 1","Audio","AudioHeightfield1","JiPi","macOS_Metal compatibility not checked"
"wd3Bzl","oneshade","Audio Waveform Visualizer v3","Audio","AudioWaveformVisualizer","JiPi","macOS_Metal compatibility not checked"
"cs2GWD","0b5vr"," 20221105_inercia intended one","Audio","InerciaIntended","JiPi","macOS_Metal compatibility not checked"
"XdsyW4","Passion","Jam Session","Audio","JamSession","JiPi","macOS_Metal compatibility not checked"
"Ml3GDX","glk7","Reactive Voronoi","Audio","ReactiveVoronoi","JiPi","macOS_Metal compatibility not checked"
"llXyzN","clintolibre","RLStyle Visualizer","Audio","Rlstyle","JiPi","macOS_Metal compatibility not checked"
"MtVfWh","saidwho12","Shadertoy audio display","Audio","ShadertoyAudioDisplay","JiPi","macOS_Metal compatibility not checked"
"MlyXWV","fwilliams","FunWithMetaballs","Blob","FunWithMetaballs","JiPi",""
"MlKGDK","roywig","TorturedBlob","Blob","TorturedBlob","JiPi",""
"XtByWW","Aeless","XRaymarching","Blob","XRaymarching","JiPi",""
"MdlGWn","w23","balls are touching","Cubemap","BallsAreTouching","JiPi","macOS_OpenCL compatibility not checked"
"XdVSRV","TambakoJaguar","Glass and Bubble","Cubemap","GlassAndBubble","JiPi","macOS_OpenCL compatibility not checked"
"sttXWX","tsaari42","KISS Tracing 001: Spheres&Plane","Cubemap","KissTracing","JiPi","macOS_Metal compatibility: :frog: *seems to be broken*"
"7sXyzX","leesten","Newton Pendulum","Cubemap","NewtonPendulum","JiPi","macOS_OpenCL compatibility not checked"
